Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
681,353733,259,44.69,12950,24.23
682,353885,49,15.48,12955,24.44
683,354274,88,20.96,12987,24.23
684,354905,316,56.81,12992,24.34
685,355037,147,26.19,13025,24.44
686,355232,96,21.67,13030,24.34
687,355368,176,30.09,13035,24.44
688,355678,344,64.67,13040,24.34
689,356084,243,41.74,13073,24.44
690,356608,453,113.81,13078,24.34
691,357544,473,126.29,13113,24.44
692,357812,51,15.86,13118,24.34
693,358706,159,27.66,13150,24.34
694,360204,499,141.24,13209,24.44
695,360996,112,22.94,13214,24.34
696,361568,368,72.93,13249,24.34
697,362255,195,33.17,13282,24.23
698,362402,110,22.78,13287,24.23
699,362718,371,73.82,13292,24.44
700,362750,63,17.91,13297,24.23
701,363149,97,21.75,13329,24.34
702,363264,99,21.91,13334,24.44
703,363472,487,132.65,13339,24.34
704,365108,255,43.96,13404,24.23
705,365436,124,23.92,13409,24.34
706,365904,162,28.06,13414,24.44
707,366106,135,24.92,13446,24.34
708,366355,82,20.36,13451,24.34
709,366578,414,93.93,13456,24.34
710,367962,88,20.96,13490,24.23
711,368215,432,101.61,13522,24.23
712,370130,61,17.6,13585,24.44
713,370265,56,16.76,13590,24.34
714,370550,165,28.48,13595,24.44
715,370618,184,31.36,13600,24.34
716,370890,327,59.28,13605,24.34
717,371478,319,57.64,13638,24.44
718,372035,319,57.64,13671,24.34
719,372630,396,85.28,13676,24.34
720,372693,307,54.48,13681,24.34
721,372792,313,56.02,13686,24.34
722,372863,126,24.09,13691,24.44
723,373261,69,18.79,13723,24.23
724,373421,73,19.32,13728,24.44
725,373547,352,66.89,13733,24.44
726,374290,412,92.93,13766,24.44
727,374652,280,48.67,13771,24.44
728,374759,114,23.1,13776,24.34
729,375055,83,20.46,13808,24.23
730,375301,254,43.77,13813,24.23
731,375858,399,87.3,13818,24.44
732,375975,455,117.03,13823,24.44
733,375999,57,16.93,13828,24.34
734,376447,120,23.58,13863,24.23
735,376750,344,64.67,13868,24.01
736,376985,326,59.13,13873,24.44
737,378856,385,80.11,13934,24.44
738,379251,391,82.35,13968,24.23
739,380074,403,88.99,14002,24.44
740,380428,124,23.92,14007,24.44
741,380990,344,64.67,14012,24.34
742,381196,204,34.73,14044,24.34
743,381700,112,22.94,14049,24.34
744,382140,70,18.93,14081,24.44
745,382242,143,25.74,14086,24.34
746,382261,117,23.34,14091,24.01
747,382412,206,35.07,14096,24.23
748,382505,101,22.08,14100,24.44
749,382672,335,61.77,14105,24.34
750,384151,51,15.86,14166,24.44
751,384157,101,22.08,14171,24.44
752,384296,50,15.67,14176,24.34
753,384462,291,50.97,14181,24.34
754,384725,89,21.05,14186,24.34
755,384978,403,88.99,14190,24.44
756,386123,524,150.73,14253,24.23
757,386372,140,25.42,14258,24.44
758,387243,225,38.48,14290,24.01
759,387726,92,21.32,14295,24.34
760,387800,179,30.55,14300,24.23
761,389535,536,160.18,14358,24.23
762,389821,334,61.44,14363,24.01
763,389985,62,17.75,14368,24.34
764,390575,195,33.17,14400,24.44
765,390796,705,364.03,14405,24.44
766,391385,66,18.36,14441,24.34
767,392156,83,20.46,14473,24.34
