Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
531,300471,71,19.06,10796,24.44
532,300580,120,23.58,10801,24.44
533,300685,433,104.37,10806,24.34
534,300908,216,36.85,10811,24.34
535,301195,639,249.88,10843,24.44
536,302646,359,69.86,10879,24.34
537,302693,63,17.91,10883,24.44
538,302993,391,82.35,10888,24.44
539,303156,275,47.73,10920,24.23
540,303228,186,31.68,10925,24.34
541,303894,143,25.74,10930,24.34
542,304190,280,48.67,10962,24.44
543,305506,368,72.93,10995,24.44
544,305669,371,73.82,11000,24.44
545,306132,88,20.96,11033,24.44
546,306680,53,16.22,11038,24.44
547,307312,467,121.56,11069,24.34
548,307395,124,23.92,11074,24.23
549,308115,398,85.63,11106,24.34
550,308440,368,72.93,11111,24.44
551,308717,56,16.76,11116,24.34
552,308801,304,53.73,11121,24.44
553,310990,92,21.32,11182,24.44
554,311037,274,47.52,11215,24.44
555,311268,103,22.23,11220,24.44
556,311516,496,144.49,11225,24.44
557,311822,69,18.79,11230,24.44
558,311925,117,23.34,11235,24.44
559,312442,74,19.44,11267,24.44
560,312574,335,61.77,11272,24.34
561,312690,369,73.42,11277,24.44
562,312834,124,23.92,11282,24.44
563,313577,124,23.92,11314,24.44
564,314087,179,30.55,11346,24.44
565,314982,177,30.25,11350,24.44
566,315081,106,22.47,11381,24.44
567,318073,96,21.67,11466,24.44
568,320747,120,23.58,11525,24.44
569,320772,179,30.55,11530,24.34
570,320899,113,23.02,11535,24.44
571,321400,114,23.1,11567,24.44
572,321511,49,15.48,11572,24.44
573,321599,70,18.93,11577,24.44
574,321612,166,28.62,11582,24.44
575,321819,387,81.05,11587,24.34
576,322438,131,24.54,11621,24.44
577,323482,287,50.23,11653,24.44
578,323786,92,21.32,11658,24.44
579,324772,76,19.69,11690,24.34
580,325477,255,43.96,11722,24.44
581,325750,209,35.61,11727,24.44
582,326224,579,187.32,11759,24.44
583,327780,131,24.54,11795,24.44
584,328057,355,68.3,11827,24.34
585,328084,167,28.76,11831,24.44
586,328429,115,23.18,11836,24.44
587,328755,304,53.73,11841,24.44
588,328833,319,57.64,11846,24.34
589,329342,216,36.85,11879,24.44
590,329678,103,22.23,11884,24.44
591,330315,121,23.66,11916,24.44
592,331055,51,15.86,11948,24.44
593,331829,316,56.81,11953,24.44
594,332657,103,22.23,11986,24.44
595,333203,377,76.28,12018,24.44
596,333834,103,22.23,12023,24.44
597,334131,207,35.26,12055,24.44
598,334635,163,28.2,12060,24.44
599,335329,262,45.24,12092,24.34
600,335416,92,21.32,12097,24.44
601,335790,89,21.05,12102,24.44
602,337142,112,22.94,12160,24.44
603,337630,263,45.37,12165,24.44
604,337913,102,22.15,12170,24.44
605,338418,195,33.17,12202,24.34
606,340747,179,30.55,12261,24.44
607,343541,359,69.86,12346,24.44
608,343905,88,20.96,12350,24.44
609,343934,124,23.92,12355,24.44
610,344535,127,24.18,12387,24.34
611,344562,197,33.52,12392,24.44
612,346643,352,66.89,12451,24.34
613,347133,316,56.81,12484,24.44
614,347388,57,16.93,12489,24.44
615,348378,113,23.02,12521,24.44
616,348540,109,22.7,12526,24.44
617,348591,67,18.51,12531,24.44
618,348618,63,17.91,12536,24.34
619,349034,339,62.98,12568,24.34
620,349043,181,30.87,12573,24.44
621,349645,88,20.96,12577,24.23
622,350335,77,19.81,12609,24.44
623,351370,399,87.3,12641,24.44
624,352181,428,101.58,12675,24.44
625,353046,176,30.09,12708,24.44
626,354892,177,30.25,12740,24.34
627,355606,121,23.66,12772,24.44
628,355677,120,23.58,12777,24.34
629,355978,504,143.61,12782,24.44
630,356508,451,113.08,12817,24.44
631,357513,199,33.86,12852,24.44
632,358047,56,16.76,12884,24.44
633,358704,112,22.94,12889,24.34
634,358921,109,22.7,12894,24.23
635,359634,83,20.46,12925,24.44
636,359763,348,65.64,12930,24.34
637,360522,494,141.37,12963,24.34
638,360723,217,37.04,12968,24.44
639,360802,101,22.08,12973,24.34
640,361032,385,80.11,13005,24.44
641,361753,117,23.34,13010,24.44
642,364078,209,35.61,13096,24.44
643,364222,403,88.99,13101,24.44
644,365199,88,20.96,13135,24.23
645,365315,63,17.91,13140,24.34
646,365821,81,20.25,13145,24.44
647,366319,207,35.26,13177,24.34
648,367084,58,17.1,13209,24.34
649,367264,526,158.17,13214,24.34
650,367330,131,24.54,13219,24.34
651,367475,57,16.93,13224,24.44
652,367699,51,15.86,13229,24.44
653,367748,271,46.93,13234,24.34
654,368236,141,25.53,13267,24.44
655,368663,103,22.23,13272,24.23
656,369234,181,30.87,13304,24.34
657,370710,69,18.79,13335,24.44
658,371428,391,82.35,13367,24.44
659,371490,127,24.18,13372,24.44
660,372412,60,17.43,13404,24.34
661,372783,511,149.39,13409,24.44
662,373093,159,27.66,13444,24.44
663,373675,57,16.93,13449,24.34
664,373708,240,41.21,13454,24.44
665,373940,89,21.05,13459,24.44
666,374800,368,72.93,13490,24.34
667,376258,307,54.48,13551,24.44
668,376518,122,23.75,13556,24.44
669,376531,92,21.32,13561,24.44
670,376630,71,19.06,13566,24.44
671,376964,89,21.05,13571,24.44
672,377518,199,33.86,13602,24.34
673,377911,94,21.5,13607,24.34
674,378552,82,20.36,13638,24.34
675,378999,358,69.1,13643,24.34
676,379933,92,21.32,13674,24.44
677,381380,103,22.23,13733,24.44
678,382222,395,84.48,13765,24.44
679,382636,103,22.23,13770,24.44
680,383304,287,50.23,13802,24.44
681,383905,177,30.25,13807,24.44
682,384263,67,18.51,13839,24.44
683,384995,96,21.67,13844,24.44
684,385945,524,150.73,13876,24.44
685,386102,124,23.92,13912,24.44
686,387430,176,30.09,13944,24.34
687,388199,462,120.87,13976,24.44
688,388780,368,72.93,13981,24.44
689,389230,88,20.96,14014,24.34
690,389983,143,25.74,14019,24.44
691,392951,487,132.65,14105,24.34
692,393749,192,32.67,14140,24.44
693,393895,79,20.03,14145,24.44
694,395750,376,76.43,14204,24.44
695,396261,131,24.54,14237,24.34
696,396842,117,23.34,14242,24.44
697,397925,56,16.76,14274,24.34
698,398247,57,16.93,14306,24.44
699,398338,89,21.05,14311,24.44
700,398949,211,35.96,14315,24.34
701,399902,359,69.86,14347,24.44
702,400129,504,143.61,14379,24.34
703,400214,216,36.85,14384,24.44
704,400586,63,17.91,14389,24.34
705,403320,71,19.06,14475,24.34
706,404319,69,18.79,14507,24.44
707,405109,366,72.41,14539,24.34
708,406249,184,31.36,14572,24.44
