Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
547,303352,184,31.36,10909,24.34
548,303880,88,20.96,10914,24.23
549,303991,146,26.08,10919,24.12
550,305171,184,31.36,10978,23.91
551,305260,126,24.09,10983,24.01
552,305452,96,21.67,10988,24.01
553,305777,184,31.36,10993,24.23
554,306926,103,22.23,11025,24.12
555,308716,99,21.91,11084,24.12
556,311433,558,172.78,11170,24.12
557,312286,327,59.28,11206,24.12
558,312459,143,25.74,11211,23.8
559,312491,120,23.58,11216,23.91
560,312612,102,22.15,11221,23.91
561,312629,115,23.18,11226,24.12
562,312658,50,15.67,11231,23.91
563,312893,263,45.37,11236,23.91
564,313193,344,64.67,11269,23.8
565,313376,280,48.67,11274,23.91
566,315153,79,20.03,11335,24.23
567,315887,205,34.91,11340,24.34
568,317123,51,15.86,11399,24.01
569,317287,166,28.62,11404,23.91
570,318201,195,33.17,11436,24.23
571,318682,184,31.36,11441,24.12
572,318720,254,43.77,11446,24.01
573,319235,49,15.48,11479,23.91
574,319573,103,22.23,11484,24.23
575,320283,199,33.86,11516,23.91
576,320313,514,147.76,11521,23.91
577,320412,326,59.13,11526,23.91
578,320462,131,24.54,11531,24.01
579,321285,353,67.64,11563,23.91
580,323551,192,32.67,11624,23.8
581,325032,248,42.69,11683,24.01
582,325285,211,35.96,11688,23.8
583,326707,255,43.96,11720,24.12
584,327315,199,33.86,11752,24.34
585,327423,204,34.73,11757,24.12
586,328163,448,112.41,11789,24.12
587,329667,83,20.46,11823,24.01
588,330524,79,20.03,11855,24.01
589,331054,194,33,11887,24.01
590,331146,96,21.67,11892,24.23
591,331808,387,81.05,11897,24.23
592,332536,549,171.58,11931,24.12
593,332557,56,16.76,11936,24.23
594,334217,291,50.97,11995,23.8
595,334678,113,23.02,12000,24.23
596,336134,664,270.86,12059,23.8
597,336855,376,76.43,12064,24.23
598,337740,359,69.86,12097,24.12
599,337985,312,55.68,12101,23.8
600,338380,63,17.91,12134,24.23
601,338630,92,21.32,12139,24.12
602,339735,225,38.48,12171,24.01
603,340111,57,16.93,12203,24.34
604,340509,334,61.44,12208,24.01
