Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
660,361130,117,23.34,13081,24.44
661,361869,384,80.08,13086,24.34
662,362090,49,15.48,13120,24.44
663,362108,348,65.64,13125,24.44
664,362977,127,24.18,13130,24.34
665,363144,103,22.23,13162,24.44
666,366353,71,19.06,13247,24.34
667,366569,71,19.06,13252,24.44
668,367456,159,27.66,13284,24.34
669,367475,207,35.26,13289,24.44
670,367756,398,85.63,13294,24.34
671,368454,384,80.08,13328,24.44
672,369038,56,16.76,13362,24.34
673,369264,287,50.23,13367,24.44
674,369554,384,80.08,13372,24.44
675,372565,78,19.92,13463,24.44
676,372880,430,101.41,13468,24.44
677,374271,403,88.99,13530,24.34
678,374531,440,109.25,13535,24.44
679,374948,63,17.91,13540,24.44
680,375371,211,35.96,13572,24.34
681,375469,63,17.91,13577,24.44
682,376098,326,59.13,13609,24.44
683,376332,53,16.22,13614,24.34
684,376522,384,80.08,13618,24.34
685,376539,252,43.42,13623,24.34
686,376856,51,15.86,13628,24.44
687,377199,78,19.92,13660,24.44
688,377762,345,64.98,13665,24.44
689,377769,316,56.81,13670,24.44
690,378142,184,31.36,13703,24.44
691,378775,127,24.18,13708,24.23
692,379602,90,21.14,13740,24.34
693,380160,50,15.67,13771,24.23
694,380319,217,37.04,13776,24.44
695,380547,147,26.19,13781,24.44
696,381762,115,23.18,13813,24.44
697,381836,131,24.54,13818,24.34
698,382644,355,68.3,13850,24.44
699,383097,377,76.28,13882,24.44
700,383279,192,32.67,13887,24.23
701,383406,199,33.86,13892,24.34
702,383467,467,121.56,13897,24.44
703,384388,56,16.76,13932,24.23
704,384444,487,132.65,13937,24.34
705,384975,83,20.46,13942,24.44
706,386325,207,35.26,14001,24.23
707,386784,115,23.18,14006,24.44
708,386815,76,19.69,14011,24.44
709,386868,184,31.36,14016,24.44
710,387483,71,19.06,14048,24.44
711,388757,63,17.91,14080,24.34
712,389112,93,21.41,14112,24.44
713,389849,109,22.7,14116,24.44
714,390992,505,145.23,14147,24.44
715,391471,50,15.67,14179,24.34
716,391577,355,68.3,14184,24.34
717,391687,147,26.19,14188,24.44
718,392088,335,61.77,14220,24.44
719,392204,615,227.36,14225,24.34
720,392337,192,32.67,14230,24.44
721,392349,99,21.91,14235,24.44
722,394311,71,19.06,14294,24.44
723,394897,127,24.18,14299,24.34
724,395924,103,22.23,14331,24.44
725,396109,83,20.46,14363,24.44
726,398704,415,95,14422,24.34
727,398817,287,50.23,14427,24.44
728,399187,319,57.64,14460,24.34
729,399601,143,25.74,14465,24.34
730,399808,112,22.94,14470,24.44
731,399833,88,20.96,14475,24.44
732,400246,83,20.46,14507,24.44
733,400615,113,23.02,14512,24.44
734,401343,199,33.86,14544,24.44
735,401426,60,17.43,14549,24.34
736,402443,412,92.93,14581,24.44
737,403091,159,27.66,14615,24.44
738,403183,300,52.79,14620,24.34
739,403966,440,109.25,14625,24.44
740,404159,307,54.48,14659,24.44
741,404223,88,20.96,14664,24.23
742,404547,78,19.92,14669,24.34
743,404676,135,24.92,14674,24.34
744,405928,127,24.18,14706,24.44
745,406166,280,48.67,14738,24.34
746,407144,120,23.58,14770,24.44
747,407359,62,17.75,14775,24.34
748,407369,391,82.35,14780,24.44
749,407645,60,17.43,14785,24.44
750,408633,217,37.04,14817,24.44
751,408743,467,121.56,14822,24.44
752,409186,216,36.85,14857,24.44
753,409759,399,87.3,14862,24.34
754,409961,78,19.92,14867,24.34
755,410424,255,43.96,14899,24.34
756,410474,344,64.67,14904,24.44
757,410649,83,20.46,14909,24.44
758,411573,143,25.74,14941,24.44
759,412515,284,49.41,14973,24.23
760,412654,153,26.9,14978,24.34
761,412756,56,16.76,14983,24.44
762,413526,387,81.05,15015,24.44
763,413735,56,16.76,15020,24.44
764,414197,268,46.26,15052,24.44
765,416321,121,23.66,15113,24.34
766,416738,71,19.06,15118,24.12
767,417311,334,61.44,15150,24.44
768,417605,492,134.92,15155,24.34
